Time(s),Temperature(C)
0.00,26.75
2.50,26.75
5.01,26.50
7.51,26.75
10.01,26.75
12.52,26.50
15.02,27.25
17.52,26.00
20.03,27.25
22.53,26.50
25.03,27.25
27.54,27.00
30.04,27.25
32.54,26.75
35.05,27.25
37.55,26.75
40.05,24.75
42.56,27.00
45.06,27.50
47.56,27.25
50.07,27.25
52.57,27.50
55.07,27.50
57.58,28.00
60.08,27.75
62.58,28.25
65.09,28.75
67.59,28.50
70.09,29.25
72.60,29.25
75.10,28.75
77.60,29.75
80.11,30.25
82.61,28.75
85.11,30.50
87.62,30.50
90.12,30.25
92.62,31.25
95.13,31.50
97.63,31.75
100.14,32.00
102.64,32.25
105.14,32.25
107.65,32.75
110.15,33.50
112.65,30.25
115.16,34.75
117.66,34.75
120.16,35.50
122.67,35.50
125.17,36.25
127.67,37.25
130.18,38.00
132.68,38.25
135.18,39.00
137.69,39.75
140.19,40.00
142.69,41.00
145.20,41.00
147.70,42.00
150.21,42.75
152.71,43.50
155.21,44.25
157.72,44.50
160.22,45.00
162.72,46.25
165.23,47.00
167.73,47.50
170.23,48.25
172.74,48.75
175.24,49.75
177.74,50.75
180.25,51.00
182.75,51.75
185.25,49.75
187.76,53.50
190.26,54.75
192.77,55.25
195.27,55.75
197.77,57.00
200.27,57.50
202.78,58.25
205.28,59.25
207.79,59.50
210.29,60.00
212.79,61.00
215.30,61.75
217.80,62.75
220.30,63.25
222.81,63.75
225.31,64.75
227.81,65.75
230.32,66.00
232.82,66.75
235.32,67.50
237.83,67.75
240.33,68.25
242.83,64.50
245.34,70.25
247.84,70.25
250.34,71.25
252.85,71.00
255.35,72.75
257.85,70.50
260.36,73.75
262.86,74.25
265.36,75.25
267.87,76.25
270.37,76.25
272.88,75.25
275.38,77.25
277.88,77.25
280.39,78.75
282.89,78.75
285.39,80.00
287.90,80.25
290.40,80.25
292.91,82.00
295.41,81.75
297.91,82.75
300.42,82.00
302.92,83.75
305.42,84.00
307.92,85.00
310.43,85.25
312.93,86.00
315.44,86.75
317.94,87.00
320.44,87.00
322.95,88.00
325.45,88.75
327.95,89.50
330.46,86.75
332.96,90.75
335.46,90.50
337.97,90.25
340.47,91.75
342.97,92.75
345.48,92.75
347.98,93.25
350.48,93.25
352.99,93.75
355.49,95.25
357.99,94.75
360.50,95.25
363.00,96.25
365.50,96.75
368.01,97.25
370.51,97.00
373.02,97.50
375.52,98.50
378.02,98.75
380.53,98.50
383.03,99.50
385.53,100.25
388.04,100.75
390.54,101.00
393.05,100.75
395.55,100.75
398.05,101.00
400.55,101.25
403.06,98.50
405.56,101.75
408.07,102.25
410.57,102.75
413.07,103.50
415.58,104.25
418.08,104.00
420.58,104.50
423.09,104.25
425.59,103.25
428.09,101.75
430.60,104.75
433.10,104.50
435.60,104.25
438.11,103.00
440.61,105.00
443.11,105.75
445.62,106.50
448.12,105.25
450.63,107.00
453.13,106.75
455.63,107.00
458.14,107.00
460.64,107.50
463.14,107.25
465.65,107.25
468.15,108.25
470.66,107.75
473.16,107.75
475.66,105.00
478.17,108.50
480.67,108.50
483.17,108.75
485.68,108.25
488.18,108.50
490.69,108.75
493.19,109.00
495.69,109.00
498.20,109.00
500.70,109.00
503.20,109.00
505.70,109.25
508.21,109.00
510.71,109.50
513.22,109.75
515.72,110.00
518.22,109.75
520.73,110.00
523.23,110.00
525.73,109.75
528.24,109.75
530.74,110.25
533.24,110.25
535.75,110.75
538.25,111.00
540.75,110.75
543.26,110.75
545.77,110.75
548.27,110.50
550.77,111.50
553.28,108.00
555.78,111.25
558.28,111.50
560.78,112.00
563.29,111.75
565.79,111.50
568.30,112.00
570.80,112.00
573.30,112.50
575.81,112.00
578.31,112.75
580.81,112.75
583.32,113.00
585.82,113.00
588.32,113.50
590.83,112.75
593.33,113.25
595.83,113.25
598.34,113.50
600.84,113.75
603.34,113.25
605.85,114.25
608.35,114.25
610.85,114.00
613.36,113.75
615.86,114.50
618.36,114.75
620.87,114.75
623.37,115.25
625.88,111.00
628.38,115.50
630.89,115.50
633.39,116.00
635.89,116.00
638.40,115.50
640.90,116.00
643.40,116.25
645.91,116.75
648.41,116.50
650.91,116.75
653.42,117.00
655.92,116.75
658.42,117.00
660.93,117.75
663.43,117.75
665.94,117.75
668.44,118.25
670.94,118.00
673.45,118.00
675.95,118.50
678.45,118.75
680.96,118.75
683.46,118.25
685.96,119.25
688.47,119.25
690.97,119.75
693.47,119.50
695.98,119.25
698.48,117.50
700.98,119.75
703.49,119.50
705.99,120.50
708.50,120.75
711.00,120.75
713.51,121.00
716.01,121.50
718.51,121.50
721.02,121.75
723.52,121.50
726.03,121.25
728.53,122.00
731.03,122.50
733.54,122.00
736.04,122.75
738.54,122.75
741.05,122.75
743.55,123.50
746.05,123.50
748.56,123.50
751.06,124.00
753.56,124.25
756.07,123.00
758.57,124.25
761.07,124.25
763.58,122.25
766.08,124.75
768.59,125.00
771.09,122.00
773.59,125.50
776.09,125.75
778.60,125.75
781.10,126.00
783.61,125.75
786.11,126.00
788.61,127.00
791.12,126.75
793.62,126.75
796.12,127.50
798.63,127.00
801.13,127.25
803.64,127.00
806.14,128.00
808.64,128.50
811.15,128.50
813.65,128.25
816.15,129.00
818.66,128.75
821.16,129.00
823.66,129.25
826.17,129.75
828.67,129.50
831.17,129.50
833.68,129.75
836.18,129.00
838.69,130.75
841.19,130.25
843.69,128.50
846.20,130.25
848.70,131.25
851.20,130.50
853.71,131.25
856.21,131.25
858.71,132.25
861.22,131.75
863.72,132.00
866.22,132.00
868.73,132.00
871.23,132.50
873.73,133.50
876.24,133.25
878.74,133.75
881.25,133.75
883.75,134.00
886.26,133.75
888.76,133.50
891.26,133.75
893.77,134.50
896.27,134.75
898.77,135.50
901.28,135.00
903.78,135.25
906.28,136.00
908.79,135.50
911.29,135.50
913.79,137.00
916.30,136.75
918.80,136.75
921.30,133.25
923.81,137.75
926.31,137.50
928.81,137.00
931.32,136.50
933.82,138.25
936.33,138.75
938.83,138.50
941.33,138.25
943.84,138.50
946.34,138.50
948.84,137.50
951.35,139.00
953.85,139.50
956.35,139.25
958.86,140.00
961.36,140.25
963.86,140.00
966.37,140.50
968.87,140.00
971.38,140.75
973.88,140.75
976.38,141.25
978.89,141.25
981.39,141.25
983.90,141.25
986.40,141.50
988.90,141.75
991.41,141.75
993.91,138.75
996.41,142.75
998.92,142.50
1001.42,141.75
1003.92,142.50
1006.43,143.25
1008.93,143.00
1011.43,143.50
