Time(s),Temp(C)
0.0,53.00
2.5,52.50
5.0,53.00
7.5,52.50
10.0,52.75
12.5,52.50
15.0,52.75
17.5,52.25
20.0,51.75
22.6,52.25
25.1,51.75
27.6,52.00
30.1,52.00
32.6,52.25
35.1,52.00
37.6,51.25
40.1,51.50
42.6,52.00
45.1,49.00
47.6,51.75
50.1,47.75
52.6,51.75
55.1,51.25
57.6,50.25
60.1,51.50
62.7,50.75
65.2,51.00
67.7,51.25
70.2,51.50
72.7,51.75
75.2,51.75
77.7,51.25
80.2,51.50
82.7,51.25
85.2,52.25
87.7,52.25
90.2,52.50
92.7,52.00
95.2,52.00
97.7,52.25
100.2,52.25
102.7,53.00
105.3,52.50
107.8,53.00
110.3,53.25
112.8,53.50
115.3,53.25
117.8,53.25
120.3,53.25
122.8,54.25
125.3,53.25
127.8,51.00
130.3,54.75
132.8,55.50
135.3,55.75
137.8,55.50
140.3,56.25
142.8,56.75
145.3,56.50
147.8,57.75
150.4,57.75
152.9,59.00
155.4,59.25
157.9,59.50
160.4,59.00
162.9,60.50
165.4,61.50
167.9,61.50
170.4,62.75
172.9,63.25
175.4,63.50
177.9,64.50
180.4,64.25
182.9,64.75
185.4,65.25
187.9,65.00
190.4,66.50
192.9,67.00
195.5,67.75
198.0,69.25
200.5,70.00
203.0,70.75
205.5,68.50
208.0,72.00
210.5,72.50
213.0,73.00
215.5,73.50
218.0,73.75
220.5,74.75
223.0,74.75
225.5,74.50
228.0,75.50
230.5,76.25
233.0,77.50
235.5,77.75
238.0,77.75
240.6,78.75
243.1,78.50
245.6,79.50
248.1,79.75
250.6,79.75
253.1,80.25
255.6,80.50
258.1,81.75
260.6,81.75
263.1,82.00
265.6,82.50
268.1,83.00
270.6,83.75
273.1,84.00
275.6,84.50
278.1,82.50
280.6,84.75
283.1,85.75
285.6,85.75
288.2,86.50
290.7,87.00
293.2,87.00
295.7,87.50
298.2,88.00
300.7,88.00
303.2,88.75
305.7,89.25
308.2,89.75
310.7,90.00
313.2,90.00
315.7,90.50
318.2,90.00
320.7,91.50
323.2,89.75
325.7,92.00
328.2,92.00
330.7,92.50
333.2,92.25
335.8,93.00
338.3,93.50
340.8,93.50
343.3,94.25
345.8,94.50
348.3,95.00
350.8,94.00
353.3,95.00
355.8,92.50
358.3,96.00
360.9,96.00
363.4,96.75
365.9,96.50
368.4,97.50
370.9,97.50
373.4,98.00
375.9,98.75
378.4,98.50
380.9,99.00
383.4,99.50
385.9,99.25
388.4,99.75
390.9,100.50
393.4,100.50
395.9,101.00
398.4,101.50
400.9,101.00
403.4,101.75
405.9,101.25
408.5,102.25
411.0,102.00
413.5,103.00
416.0,103.25
418.5,103.25
421.0,103.25
423.5,103.25
426.0,104.00
428.5,104.00
431.0,104.00
433.5,101.00
436.0,104.50
438.5,105.00
441.0,105.25
443.5,105.50
446.0,105.50
448.5,106.25
451.0,107.00
453.6,106.75
456.1,106.25
458.6,107.25
461.1,107.50
463.6,107.25
466.1,107.00
468.6,107.50
471.1,107.75
473.6,109.00
476.1,109.25
478.6,109.25
481.1,109.25
483.6,110.00
486.1,109.25
488.6,110.00
491.1,110.50
493.6,110.25
496.1,110.75
498.7,111.25
501.2,110.50
503.7,111.50
506.2,111.75
508.7,112.00
511.2,108.75
513.7,112.25
516.2,112.75
518.7,112.50
521.2,112.50
523.7,112.25
526.2,112.75
528.7,113.50
531.2,113.25
533.7,113.75
536.2,113.75
538.7,114.00
541.3,114.50
543.8,114.25
546.3,114.75
548.8,114.50
551.3,114.75
553.8,114.50
556.3,115.25
558.8,115.50
561.3,115.75
563.8,115.75
566.3,115.50
568.8,116.00
571.3,116.50
573.8,116.25
576.3,116.50
578.8,116.75
581.3,117.00
583.8,114.25
586.4,117.00
588.9,117.50
591.4,117.75
593.9,117.00
596.4,117.25
598.9,117.75
601.4,118.00
603.9,118.50
606.4,118.00
608.9,118.50
611.4,118.50
613.9,118.75
616.4,117.75
618.9,118.75
621.4,119.50
623.9,119.50
626.5,119.75
629.0,120.25
631.5,120.00
634.0,120.00
636.5,119.75
639.0,120.00
641.5,120.25
644.0,120.00
646.5,121.00
649.0,120.50
651.5,121.00
654.0,121.25
656.5,121.75
659.0,121.25
661.5,117.50
664.0,122.00
666.6,121.75
669.1,122.00
671.6,122.25
674.1,122.00
676.6,122.00
679.1,122.25
681.6,123.00
684.1,123.25
686.6,122.75
689.1,123.50
691.6,123.75
694.1,123.25
696.6,123.75
699.1,124.25
701.6,123.50
704.1,124.75
706.6,125.00
709.2,125.00
711.7,125.25
714.2,124.75
716.7,125.75
719.2,125.75
721.7,125.50
724.2,126.00
726.7,125.50
729.2,126.50
731.7,126.25
734.2,126.25
736.7,126.25
739.2,124.25
741.7,127.00
744.2,127.50
746.8,127.75
749.3,127.50
751.8,127.25
754.3,127.75
756.8,128.25
759.3,128.75
761.8,128.25
764.3,128.50
766.8,128.75
769.3,129.25
771.8,129.25
774.3,129.25
776.8,129.75
779.3,129.50
781.8,129.75
784.3,130.00
786.8,130.25
789.4,130.50
791.9,130.25
794.4,130.25
796.9,130.50
799.4,130.75
801.9,130.00
804.4,131.50
806.9,131.00
809.4,131.50
811.9,130.50
814.4,131.75
816.9,132.25
819.4,132.25
821.9,132.50
824.4,132.75
827.0,132.75
829.5,133.00
832.0,133.25
834.5,133.50
837.0,133.50
839.5,133.75
842.0,134.00
844.5,134.25
847.0,134.25
849.5,134.25
852.0,134.75
854.5,135.00
857.0,135.25
859.5,135.50
862.0,136.00
864.5,135.50
867.0,135.25
869.6,135.75
872.1,136.50
874.6,136.00
877.1,136.00
879.6,136.00
882.1,136.50
884.6,136.75
887.1,137.25
889.6,134.00
892.1,136.25
894.6,137.00
897.1,137.25
899.6,137.50
902.1,137.00
904.6,138.00
907.1,137.50
909.7,137.50
912.2,137.25
914.7,138.00
917.2,138.50
919.7,138.25
922.2,138.75
924.7,138.75
927.2,139.00
929.7,139.00
932.2,139.25
934.7,138.25
937.2,139.50
939.7,138.75
942.2,139.75
944.7,139.75
947.2,140.00
949.8,140.25
952.3,139.75
954.8,139.75
957.3,140.00
959.8,140.25
962.3,140.75
964.8,140.75
967.3,136.50
969.8,140.75
972.3,136.00
974.8,140.50
977.3,141.25
979.8,140.75
982.3,141.50
984.8,141.25
987.3,141.50
989.9,141.25
992.4,141.50
994.9,141.75
997.4,141.75
999.9,142.25
1002.4,142.00
1004.9,142.25
1007.4,142.25
1009.9,142.00
1012.4,142.25
1014.9,142.25
1017.4,143.00
1019.9,142.00
1022.4,142.75
1024.9,143.25
1027.4,143.25
1029.9,143.00
1032.4,143.25
1035.0,143.25
1037.5,143.50
1040.0,142.75
1042.5,144.00
1045.0,142.50
1047.5,144.25
1050.0,143.50
1052.5,144.75
1055.0,142.50
1057.5,144.50
1060.0,144.50
1062.5,144.00
1065.0,144.25
1067.5,144.25
1070.0,144.75
1072.5,145.00
1075.0,144.25
1077.5,145.00
1080.1,145.50
1082.6,144.50
1085.1,144.00
1087.6,145.25
1090.1,145.00
1092.6,145.75
1095.1,145.50
1097.6,145.50
1100.1,146.00
1102.6,145.50
1105.1,146.00
1107.6,146.25
1110.1,146.25
1112.6,146.25
1115.1,146.25
1117.6,143.00
1120.1,146.50
1122.7,146.75
1125.2,146.25
1127.7,147.00
1130.2,147.25
1132.7,146.75
1135.2,147.00
1137.7,147.50
1140.2,146.00
1142.7,147.25
1145.2,147.00
1147.7,147.25
1150.2,147.50
1152.7,147.25
1155.2,147.75
1157.7,147.00
1160.2,147.75
1162.8,148.25
1165.3,148.00
1167.8,147.25
1170.3,148.25
1172.8,147.75
1175.3,148.00
1177.8,148.50
1180.3,147.75
1182.8,148.50
1185.3,148.75
1187.8,148.50
1190.3,148.75
1192.8,148.25
1195.3,144.75
1197.8,148.50
1200.3,149.25
1202.9,148.75
1205.4,147.50
1207.9,149.00
1210.4,148.25
1212.9,149.50
1215.4,149.75
1217.9,149.75
1220.4,149.50
1222.9,150.00
1225.4,149.75
1227.9,150.25
1230.4,150.00
1232.9,150.50
1235.4,150.50
1237.9,149.75
1240.5,150.25
1243.0,150.75
1245.5,151.00
1248.0,150.75
1250.5,150.75
1253.0,150.25
1255.5,151.50
1258.0,151.00
1260.5,151.00
1263.0,151.75
1265.5,151.75
1268.0,149.25
1270.5,151.00
1273.0,151.50
1275.5,151.50
1278.0,151.75
1280.6,152.00
1283.1,152.25
1285.6,152.00
1288.1,152.50
1290.6,152.50
1293.1,152.25
1295.6,151.25
1298.1,152.75
1300.6,152.75
1303.1,152.25
1305.6,151.25
1308.1,152.75
1310.6,153.25
1313.1,152.25
1315.6,152.25
1318.1,153.25
1320.6,152.75
1323.2,153.25
1325.7,153.50
1328.2,153.25
1330.7,152.75
1333.2,153.75
1335.7,153.25
1338.2,153.50
1340.7,153.75
1343.2,154.00
1345.7,150.75
1348.2,154.00
1350.7,154.00
1353.2,154.25
1355.7,152.75
1358.2,154.25
1360.8,154.50
1363.3,154.50
1365.8,151.50
1368.3,154.00
1370.8,154.50
1373.3,154.75
1375.8,154.25
1378.3,153.00
1380.8,154.75
1383.3,154.75
1385.8,154.50
1388.3,151.50
1390.8,154.75
1393.3,155.25
1395.8,155.25
1398.3,154.25
1400.8,155.25
1403.4,155.25
1405.9,155.25
1408.4,155.25
1410.9,155.00
1413.4,155.75
1415.9,155.75
1418.4,155.75
1420.9,155.00
1423.4,152.00
1425.9,154.75
1428.4,155.75
1430.9,156.00
1433.4,156.00
1435.9,155.75
1438.4,155.50
1440.9,155.75
1443.5,154.75
1446.0,155.50
1448.5,156.00
1451.0,155.75
1453.5,155.50
1456.0,156.25
1458.5,156.25
1461.0,156.25
1463.5,156.00
1466.0,156.50
1468.5,156.75
1471.0,156.75
1473.5,156.75
1476.0,156.50
1478.5,156.50
1481.0,157.00
1483.6,157.00
1486.1,156.25
1488.6,156.75
1491.1,157.00
1493.6,157.25
1496.1,156.75
1498.6,156.75
1501.1,152.75
1503.6,157.00
1506.1,156.75
1508.6,157.25
1511.1,157.25
1513.6,157.25
1516.1,157.00
1518.6,157.50
1521.1,157.25
1523.7,157.50
1526.2,157.25
1528.7,157.50
1531.2,157.25
1533.7,157.50
1536.2,157.25
1538.7,157.75
1541.2,157.75
1543.7,157.75
1546.2,156.25
1548.7,157.75
1551.2,158.25
1553.7,158.00
1556.2,158.25
1558.7,158.00
1561.2,158.25
1563.7,157.75
1566.3,158.25
1568.8,158.25
1571.3,158.00
1573.8,155.50
1576.3,158.25
1578.8,158.50
1581.3,158.25
1583.8,158.50
1586.3,158.00
1588.8,158.50
1591.3,158.50
1593.8,158.50
1596.3,158.50
1598.8,158.75
1601.3,158.25
1603.9,158.75
1606.4,158.50
1608.9,158.50
1611.4,158.75
1613.9,158.50
