Time(s),Temp(C)
0.0,96.75
3.3,97.00
6.7,96.00
10.0,93.25
13.4,95.50
16.7,95.50
20.0,95.00
23.4,94.50
26.7,93.75
30.1,94.00
33.4,94.00
36.7,93.75
40.1,92.50
43.4,93.00
46.7,92.75
50.1,91.75
53.4,91.75
56.8,91.25
60.1,92.00
63.4,92.00
66.8,91.75
70.1,91.00
73.5,91.25
76.8,91.25
80.1,90.75
83.5,90.50
86.8,90.50
90.2,90.50
93.5,91.00
96.8,90.25
100.2,90.25
103.5,89.50
106.9,90.50
110.2,90.50
113.5,90.50
116.9,90.00
120.2,91.00
123.5,90.50
126.9,91.00
130.2,91.25
133.6,91.50
136.9,91.00
140.2,92.25
143.6,92.00
146.9,92.50
150.3,92.75
153.6,93.00
156.9,93.25
160.3,89.50
163.6,93.25
167.0,93.75
170.3,94.25
173.6,95.00
177.0,95.50
180.3,95.50
183.7,96.00
187.0,95.75
190.3,96.50
193.7,97.25
197.0,97.00
200.3,97.75
203.7,98.50
207.0,96.00
210.4,99.25
213.7,99.25
217.0,99.25
220.4,100.50
223.7,100.00
227.1,100.75
230.4,101.50
233.7,101.50
237.1,102.00
240.4,102.50
243.8,103.00
247.1,103.00
250.4,103.50
253.8,103.00
257.1,104.00
260.5,104.75
263.8,105.00
267.1,104.50
270.5,105.75
273.8,106.00
277.1,106.50
280.5,105.75
283.8,106.50
287.2,106.50
290.5,107.50
293.8,107.00
297.2,106.75
300.5,108.25
303.9,108.25
307.2,108.75
310.5,109.00
313.9,104.25
317.2,108.75
320.6,110.00
323.9,110.25
327.2,110.25
330.6,110.50
333.9,111.25
337.3,110.75
340.6,111.50
343.9,111.50
347.3,111.25
350.6,112.25
354.0,112.25
357.3,109.75
360.6,112.50
364.0,113.00
367.3,113.25
370.6,112.50
374.0,113.50
377.3,114.00
380.7,114.25
384.0,113.00
387.3,114.50
390.7,110.25
394.0,114.50
397.4,115.00
400.7,115.25
404.0,112.25
407.4,115.25
410.7,115.50
414.1,116.25
417.4,116.25
420.7,116.00
424.1,116.50
427.4,116.50
430.8,117.00
434.1,116.50
437.4,117.75
440.8,117.75
444.1,117.00
447.5,118.00
450.8,112.75
454.1,118.75
457.5,118.00
460.8,118.50
464.1,118.50
467.5,119.00
470.8,119.00
474.2,119.50
477.5,119.75
480.8,119.75
484.2,119.75
487.5,119.75
490.9,120.50
494.2,119.75
497.5,120.75
500.9,120.75
504.2,121.00
507.6,121.00
510.9,116.25
514.2,121.75
517.6,121.00
520.9,122.25
524.3,122.00
527.6,122.00
530.9,122.00
534.3,122.50
537.6,122.50
541.0,122.75
544.3,123.00
547.6,123.00
551.0,123.25
554.3,122.50
557.6,123.25
561.0,123.25
564.3,123.50
567.7,123.50
571.0,118.50
574.3,124.00
577.7,123.50
581.0,124.25
584.4,124.50
587.7,124.75
591.0,124.00
594.4,124.50
597.7,124.00
601.1,121.50
604.4,125.25
607.7,125.00
611.1,125.50
614.4,125.50
617.8,125.75
621.1,125.50
624.4,124.00
627.8,126.25
631.1,124.75
634.5,126.75
637.8,126.25
641.1,126.50
644.5,126.50
647.8,124.00
651.1,127.00
654.5,127.75
657.8,127.75
661.2,127.25
664.5,128.25
667.8,128.25
671.2,127.50
674.5,128.25
677.9,128.25
681.2,128.50
684.5,128.75
687.9,128.75
691.2,128.50
694.6,128.75
697.9,128.75
701.2,129.25
704.6,129.50
707.9,129.50
711.2,129.25
714.6,128.75
717.9,129.25
721.3,129.25
724.6,129.50
728.0,130.00
731.3,130.00
734.6,130.00
738.0,130.50
741.3,130.00
744.6,130.25
748.0,130.75
751.3,129.25
754.7,130.75
758.0,130.75
761.3,130.75
764.7,130.75
768.0,131.25
771.4,131.50
774.7,131.50
778.0,131.50
781.4,132.25
784.7,131.50
788.1,132.00
791.4,131.75
794.7,132.00
798.1,131.25
801.4,132.75
804.7,132.75
808.1,132.75
811.4,132.75
814.8,132.75
818.1,132.75
821.5,133.25
824.8,132.75
828.1,133.25
831.5,133.50
834.8,133.50
838.1,133.75
841.5,133.25
844.8,131.00
848.2,133.25
851.5,134.00
854.8,133.75
858.2,134.00
861.5,134.00
864.9,134.00
868.2,134.50
871.5,134.25
874.9,134.00
878.2,134.75
881.6,134.50
884.9,134.75
888.2,134.75
891.6,134.25
894.9,134.75
898.2,135.25
901.6,135.00
904.9,135.50
908.3,135.00
911.6,135.25
914.9,135.75
918.3,135.25
921.6,135.00
925.0,135.75
928.3,135.75
931.6,136.00
935.0,135.25
938.3,135.25
941.7,136.00
945.0,135.25
948.3,134.50
951.7,135.75
955.0,136.00
958.4,135.75
961.7,136.50
965.0,136.00
968.4,136.75
971.7,136.75
975.0,136.50
978.4,136.75
981.7,137.25
985.1,136.25
988.4,137.50
991.7,137.50
995.1,133.50
998.4,137.50
1001.8,136.75
1005.1,137.50
1008.4,137.50
1011.8,137.75
1015.1,137.25
1018.5,138.00
1021.8,137.75
1025.1,138.25
1028.5,137.75
1031.8,138.00
1035.2,138.50
1038.5,138.00
1041.8,136.75
1045.2,138.50
1048.5,138.50
1051.9,138.25
1055.2,138.00
1058.5,139.00
1061.9,138.75
1065.2,138.75
1068.5,138.50
1071.9,138.25
1075.2,139.00
1078.6,139.25
1081.9,139.50
1085.2,139.25
1088.6,139.50
1091.9,139.25
1095.3,139.50
1098.6,138.75
1101.9,139.50
1105.3,140.00
1108.6,139.75
1112.0,140.25
1115.3,140.25
1118.6,140.25
1122.0,139.75
1125.3,140.25
1128.7,140.50
1132.0,140.00
1135.3,140.25
1138.7,140.50
1142.0,140.75
1145.4,139.75
1148.7,140.25
1152.0,140.00
1155.4,140.75
1158.7,140.75
1162.0,141.25
1165.4,141.25
1168.7,141.00
1172.1,141.00
1175.4,140.50
1178.7,141.25
1182.1,140.75
1185.4,141.00
1188.8,141.25
1192.1,138.25
1195.4,141.25
1198.8,141.75
1202.1,141.50
1205.5,142.00
1208.8,141.25
1212.1,142.00
1215.5,142.00
1218.8,141.75
1222.2,142.00
1225.5,142.00
1228.8,142.00
1232.2,142.25
1235.5,142.50
1238.9,141.75
1242.2,142.25
1245.5,142.50
1248.9,142.75
1252.2,142.00
1255.5,142.00
1258.9,142.00
1262.2,142.25
1265.6,142.25
1268.9,142.75
1272.2,142.75
1275.6,142.75
1278.9,143.25
1282.3,142.50
1285.6,143.25
1288.9,143.25
1292.3,143.00
1295.6,143.25
1299.0,143.50
1302.3,143.50
1305.6,143.50
1309.0,143.50
1312.3,143.50
1315.6,143.75
1319.0,143.50
1322.3,143.75
1325.7,144.00
1329.0,143.75
1332.3,144.00
1335.7,143.75
1339.0,143.75
1342.4,139.75
1345.7,144.25
1349.0,144.50
1352.4,144.50
1355.7,144.25
1359.1,144.50
1362.4,143.75
1365.7,144.25
1369.1,144.50
1372.4,144.50
1375.8,144.50
1379.1,143.50
1382.4,144.75
1385.8,144.25
1389.1,142.25
1392.5,144.75
1395.8,144.75
1399.1,144.50
1402.5,145.00
1405.8,144.75
1409.1,144.75
1412.5,145.25
1415.8,144.75
1419.2,145.00
1422.5,145.25
1425.8,144.50
1429.2,144.25
1432.5,145.25
1435.9,145.00
1439.2,145.25
1442.5,145.50
1445.9,145.25
1449.2,145.50
1452.6,145.50
1455.9,145.00
1459.2,145.50
1462.6,145.75
1465.9,145.25
1469.3,145.75
1472.6,145.75
1475.9,145.25
1479.3,145.75
1482.6,145.75
1486.0,146.00
1489.3,145.75
1492.6,143.75
1496.0,145.50
1499.3,145.75
1502.6,146.00
1506.0,146.25
1509.3,145.25
1512.7,146.25
1516.0,146.00
1519.3,146.25
1522.7,146.25
1526.0,146.00
1529.4,145.75
1532.7,146.00
1536.0,146.00
1539.4,143.50
1542.7,143.50
0.0,126.75
2.9,126.00
5.7,126.25
8.6,126.00
11.5,125.25
14.3,125.25
17.2,124.50
20.0,123.50
22.9,123.75
25.8,123.00
28.6,123.25
31.5,122.00
34.4,122.25
37.2,122.25
40.1,122.00
42.9,119.50
45.8,121.25
48.7,120.50
51.5,119.00
54.4,120.50
57.3,120.50
60.1,119.75
63.0,119.25
65.8,120.00
68.7,119.00
71.6,119.25
74.4,118.50
77.3,119.00
80.2,115.75
83.0,119.00
85.9,118.50
88.8,118.50
91.6,118.00
94.5,118.00
97.3,118.25
100.2,118.00
103.1,118.75
105.9,118.00
108.8,118.75
111.7,118.75
114.5,118.50
117.4,119.00
120.2,118.50
123.1,119.00
126.0,119.25
128.8,119.25
131.7,119.50
134.6,119.25
137.4,119.50
140.3,119.25
143.2,120.00
146.0,120.25
148.9,120.25
151.7,120.25
154.6,120.75
157.5,121.00
160.3,121.50
163.2,119.25
166.1,122.00
168.9,121.50
171.8,121.50
174.6,122.00
177.5,122.75
180.4,122.25
183.2,122.75
186.1,123.75
189.0,120.00
191.8,123.75
194.7,124.00
197.6,123.25
200.4,124.00
203.3,124.25
206.1,125.25
209.0,125.00
211.9,124.50
214.7,125.25
217.6,125.50
220.5,126.00
223.3,126.25
226.2,126.50
229.0,126.75
231.9,126.50
234.8,127.25
237.6,127.75
240.5,127.25
243.4,127.75
246.2,127.50
249.1,128.00
252.0,128.25
254.8,128.50
257.7,128.50
260.5,128.75
263.4,129.50
266.3,129.25
269.1,129.50
272.0,127.50
274.9,130.25
277.7,130.50
280.6,130.50
283.4,131.50
286.3,131.00
289.2,131.50
292.0,131.75
294.9,131.75
297.8,132.00
300.6,132.25
303.5,132.25
306.4,131.75
309.2,132.75
312.1,133.25
314.9,133.25
317.8,133.50
320.7,133.75
323.5,134.00
326.4,133.50
329.3,133.75
332.1,134.00
335.0,134.25
337.8,134.50
340.7,134.50
343.6,134.75
346.4,135.00
349.3,134.50
352.2,135.25
355.0,135.25
357.9,134.75
360.8,135.50
363.6,135.75
366.5,136.00
369.3,136.50
372.2,136.00
375.1,136.25
377.9,136.50
380.8,132.50
383.7,136.75
386.5,137.00
389.4,137.00
392.2,137.00
395.1,137.50
398.0,137.75
400.8,137.50
403.7,136.75
406.6,137.75
409.4,138.00
412.3,137.75
415.2,138.00
418.0,138.50
420.9,138.50
423.7,138.75
426.6,138.50
429.5,138.75
432.3,139.50
435.2,139.50
438.1,138.75
440.9,139.50
443.8,139.00
446.7,139.25
449.5,139.75
452.4,140.00
455.2,140.00
458.1,140.00
461.0,140.25
463.8,137.50
466.7,140.50
469.6,140.75
472.4,140.25
475.3,140.75
478.1,140.75
481.0,140.75
483.9,141.00
486.7,141.25
489.6,141.00
492.5,140.75
495.3,141.50
498.2,141.75
501.1,141.50
503.9,141.50
506.8,141.25
509.6,141.50
512.5,142.50
515.4,142.25
518.2,142.75
521.1,142.50
524.0,142.00
526.8,142.50
529.7,142.75
532.5,142.75
535.4,143.25
538.3,143.25
541.1,142.50
544.0,143.25
546.9,143.25
549.7,143.50
552.6,143.50
555.5,141.25
558.3,144.00
561.2,143.75
564.0,143.25
566.9,144.00
569.8,144.00
572.6,139.75
575.5,144.25
578.4,143.75
581.2,144.50
584.1,144.25
586.9,143.75
589.8,144.50
592.7,144.75
595.5,141.25
598.4,144.75
601.3,143.00
604.1,144.75
607.0,145.00
609.9,145.00
612.7,145.00
615.6,145.25
618.4,145.25
621.3,145.25
624.2,145.50
627.0,145.25
629.9,145.50
632.8,145.50
635.6,145.75
638.5,145.75
641.3,146.00
644.2,146.00
647.1,145.25
649.9,146.25
652.8,146.25
655.6,143.25
658.5,146.50
661.4,145.75
664.2,146.00
667.1,145.75
670.0,146.25
672.8,147.00
675.7,146.25
678.5,146.75
681.4,146.50
684.3,147.00
687.1,146.50
690.0,147.50
692.9,143.75
695.7,147.50
698.6,146.75
701.5,147.50
704.3,147.75
707.2,147.50
710.0,147.75
712.9,148.00
715.8,148.00
718.6,147.50
721.5,148.00
724.4,148.00
727.2,148.00
730.1,148.25
732.9,148.00
735.8,148.50
738.7,146.75
741.5,148.25
744.4,148.50
747.2,148.75
750.1,148.00
753.0,148.25
755.8,148.50
758.7,148.75
761.6,148.25
764.4,146.00
767.3,148.50
770.1,149.25
773.0,149.25
775.9,149.00
778.7,149.50
781.6,149.25
784.5,149.00
787.3,149.50
790.2,149.00
793.1,149.50
795.9,150.00
798.8,150.00
801.6,149.75
804.5,149.75
807.4,149.75
810.2,149.75
813.1,150.25
816.0,150.50
818.8,150.50
821.7,150.50
824.5,150.25
827.4,150.25
830.3,150.50
833.1,151.25
836.0,151.25
838.9,151.25
841.7,151.25
844.6,151.25
847.5,148.00
850.3,150.75
853.2,150.25
856.0,151.50
858.9,149.50
861.8,151.25
864.6,151.50
867.5,149.25
870.4,152.00
873.2,151.50
876.1,151.75
879.0,152.25
881.8,151.75
884.7,152.00
887.5,152.00
890.4,151.50
893.3,152.00
896.1,152.75
899.0,152.25
901.9,152.75
904.7,152.75
907.6,152.25
910.4,152.25
913.3,152.75
916.2,152.75
919.0,153.00
921.9,152.25
924.8,152.75
927.6,152.50
930.5,151.25
933.4,153.00
936.2,153.25
939.1,153.00
941.9,153.25
944.8,152.75
947.7,153.25
950.5,153.00
953.4,153.50
956.3,153.50
959.1,153.50
962.0,153.75
964.9,153.75
967.7,153.25
970.6,153.75
973.4,153.75
976.3,153.75
979.2,153.75
982.0,153.50
984.9,153.75
987.8,153.50
990.6,154.00
993.5,153.75
996.3,154.25
999.2,154.00
1002.1,153.50
1004.9,153.25
1007.8,154.50
1010.7,154.25
1013.5,154.25
1016.4,153.75
1019.2,154.50
1022.1,154.75
1025.0,154.00
1027.8,154.25
1030.7,154.25
1033.6,154.25
1036.4,154.75
1039.3,151.50
1042.2,154.75
1045.0,155.00
1047.9,154.75
