Time(s),Temp(C)
0.0,146.00
3.3,145.25
6.7,145.25
10.0,145.50
13.4,145.50
16.7,145.50
20.0,145.75
23.4,145.25
26.7,145.50
30.1,145.25
33.4,145.75
36.7,145.50
40.1,145.25
43.4,145.75
46.7,145.75
50.1,145.00
53.4,145.50
56.8,145.25
60.1,145.50
63.4,145.50
66.8,142.00
70.1,145.75
73.5,145.75
76.8,145.50
80.1,145.75
83.5,145.00
86.8,145.50
90.2,145.75
93.5,145.50
96.8,145.00
100.2,145.00
103.5,145.00
106.9,145.25
110.2,146.00
113.5,143.00
116.9,145.25
120.2,146.25
123.5,146.25
126.9,145.75
130.2,146.00
133.6,146.00
137.0,145.50
140.3,146.25
143.6,146.25
147.0,146.25
150.3,146.00
153.6,146.00
157.0,146.25
160.3,146.00
163.7,146.25
167.0,145.75
170.3,146.00
173.7,146.50
177.0,146.50
180.3,145.75
183.7,146.00
187.0,146.00
190.4,146.25
193.7,146.00
197.0,146.50
200.4,146.50
203.7,146.75
207.1,146.00
210.4,146.00
213.7,146.50
217.1,146.25
220.4,146.25
223.7,146.75
227.1,146.25
230.4,146.25
233.8,146.25
237.1,146.50
240.4,146.75
243.8,146.75
247.1,145.75
250.5,146.75
253.8,147.25
257.1,147.25
260.5,147.25
263.8,144.50
267.1,146.50
270.5,147.25
273.8,146.75
277.2,147.00
280.5,147.00
283.8,147.00
287.2,147.25
290.5,147.25
293.8,146.25
297.2,146.75
300.5,147.00
0.0,147.25
2.9,146.75
5.7,147.25
8.6,146.75
11.4,147.00
14.3,147.25
17.2,147.50
20.0,147.25
22.9,146.75
25.8,146.75
28.6,147.00
31.5,147.00
34.4,147.50
37.2,147.00
40.1,147.25
42.9,147.50
45.8,147.50
48.7,143.50
51.5,147.75
54.4,147.75
57.2,148.00
60.1,148.25
63.0,148.25
65.8,148.00
68.7,147.75
71.6,148.00
74.4,148.25
77.3,148.00
80.1,148.25
83.0,148.50
85.9,148.00
88.7,148.25
91.6,148.50
94.5,148.50
97.3,148.00
100.2,148.50
103.1,149.00
105.9,149.00
108.8,148.75
111.6,148.75
114.5,148.75
117.4,148.50
120.2,149.25
123.1,148.75
126.0,149.25
128.8,148.75
131.7,145.75
134.5,149.00
137.4,148.75
140.3,149.75
143.1,149.25
146.0,150.00
148.9,150.00
151.7,149.75
154.6,150.25
157.5,149.75
160.3,149.75
163.2,150.00
166.0,149.75
168.9,150.00
171.8,150.25
174.6,149.50
177.5,149.50
180.4,150.25
183.2,150.25
186.1,148.00
188.9,150.50
191.8,151.00
194.7,151.00
197.5,151.25
200.4,151.25
203.3,151.00
206.1,150.75
209.0,151.00
211.9,151.00
214.7,150.25
217.6,150.75
220.4,151.50
223.3,151.75
226.2,151.75
229.0,152.00
231.9,151.00
234.8,151.50
237.6,150.50
240.5,150.75
243.3,152.00
246.2,152.50
249.1,152.50
251.9,151.75
254.8,152.00
257.7,152.25
260.5,152.25
263.4,152.00
266.3,152.25
269.1,152.50
272.0,152.50
274.8,152.25
277.7,152.75
280.6,152.50
283.4,152.50
286.3,153.25
289.2,153.00
292.0,152.50
294.9,152.75
297.8,153.50
300.6,153.00
303.5,153.25
306.3,153.00
309.2,153.50
312.1,153.50
314.9,153.25
317.8,153.75
320.7,153.75
323.5,149.50
326.4,153.75
329.2,153.75
332.1,154.25
335.0,153.75
337.8,154.25
340.7,154.00
343.6,154.00
346.4,153.50
349.3,154.25
352.2,153.75
355.0,154.25
357.9,154.00
360.7,154.25
363.6,154.50
366.5,154.25
369.3,154.25
372.2,154.50
375.1,154.25
377.9,153.75
380.8,154.50
383.6,155.00
386.5,154.75
389.4,155.00
392.2,154.25
395.1,154.25
398.0,154.50
400.8,154.75
403.7,155.00
406.6,152.00
409.4,155.00
412.3,155.25
415.1,155.00
418.0,155.00
420.9,155.25
423.7,155.00
426.6,154.50
429.5,155.25
432.3,155.00
435.2,155.00
438.0,155.50
440.9,155.00
443.8,155.25
446.6,154.75
449.5,155.00
452.4,155.25
455.2,155.00
458.1,155.25
461.0,155.25
463.8,155.75
466.7,156.00
469.5,155.75
472.4,155.75
475.3,155.25
478.1,155.50
481.0,155.50
483.9,155.75
486.7,155.75
489.6,156.25
492.5,156.00
495.3,156.00
498.2,155.75
501.0,156.00
503.9,156.00
506.8,156.25
509.6,156.50
512.5,155.75
515.4,152.75
518.2,156.50
521.1,156.00
523.9,155.75
526.8,155.50
529.7,156.25
532.5,156.00
535.4,156.25
538.3,155.50
541.1,156.00
544.0,155.75
546.9,156.25
549.7,156.00
552.6,155.75
555.4,156.50
558.3,155.75
561.2,156.25
564.0,155.50
566.9,156.50
569.8,156.75
572.6,156.50
575.5,155.25
578.4,156.25
581.2,156.75
584.1,156.50
586.9,156.25
589.8,156.25
592.7,156.25
595.5,156.75
598.4,153.25
601.3,157.00
604.1,156.75
607.0,156.25
609.8,156.75
612.7,156.75
615.6,157.00
618.4,156.75
621.3,157.25
624.2,156.25
627.0,156.75
629.9,157.00
632.7,157.25
635.6,157.00
638.5,157.75
641.3,157.25
644.2,157.50
647.1,157.50
649.9,157.25
652.8,157.25
655.7,157.25
658.5,157.00
661.4,157.75
664.2,157.25
667.1,157.50
670.0,157.00
672.8,157.25
675.7,157.50
678.6,157.00
681.4,157.75
684.3,158.00
687.2,158.00
690.0,157.75
692.9,157.50
695.7,158.00
698.6,158.25
701.5,157.75
704.3,157.50
707.2,155.25
710.1,157.75
712.9,157.00
715.8,158.00
718.6,158.50
721.5,158.50
724.4,157.75
727.2,158.50
730.1,156.75
733.0,158.50
735.8,158.75
738.7,158.75
741.6,157.75
744.4,158.25
747.3,158.25
750.1,157.75
753.0,158.75
755.9,158.75
758.7,159.25
761.6,158.25
764.5,159.00
767.3,159.25
770.2,158.75
773.0,156.75
775.9,158.75
778.8,159.00
781.6,159.25
784.5,159.00
787.4,158.75
790.2,156.50
793.1,159.50
796.0,159.00
798.8,158.25
801.7,159.50
804.5,159.75
807.4,159.50
810.3,159.75
813.1,159.00
816.0,157.25
818.9,159.75
821.7,159.50
824.6,159.25
827.5,159.50
830.3,159.75
833.2,157.75
836.0,159.50
838.9,159.50
841.8,159.50
844.6,158.00
847.5,159.50
850.4,159.50
853.2,159.75
856.1,159.25
858.9,159.25
861.8,160.00
864.7,160.00
867.5,160.00
870.4,159.75
873.3,160.00
876.1,160.00
879.0,159.75
881.9,160.25
884.7,159.25
887.6,159.75
890.4,160.00
893.3,158.50
896.2,160.00
899.0,157.75
901.9,160.00
904.8,160.00
907.6,159.25
910.5,160.00
913.4,160.25
916.2,160.00
919.1,160.50
921.9,160.50
924.8,160.00
927.7,160.25
930.5,160.25
933.4,160.00
936.3,160.25
939.1,160.75
942.0,160.25
944.8,160.00
947.7,160.75
950.6,160.50
953.4,160.50
956.3,160.00
959.2,160.25
962.0,160.75
964.9,161.00
967.7,160.25
970.6,160.00
973.5,160.75
976.3,160.75
979.2,160.75
982.1,157.50
984.9,160.75
987.8,160.50
990.7,160.50
993.5,159.00
996.4,161.00
999.2,159.25
1002.1,161.25
1005.0,160.75
1007.8,160.75
1010.7,160.75
1013.6,160.50
1016.4,160.50
1019.3,161.00
1022.2,160.50
1025.0,161.25
1027.9,160.75
1030.7,160.50
1033.6,160.75
1036.5,160.50
1039.3,161.00
1042.2,160.25
1045.1,160.75
1047.9,160.50
1050.8,160.75
1053.6,160.50
0.0,161.00
3.1,157.25
6.2,161.25
9.2,160.75
12.3,160.50
15.4,159.50
18.5,160.00
21.6,160.75
24.7,160.50
27.7,159.75
30.8,160.75
33.9,160.75
37.0,160.50
40.1,159.00
43.2,160.25
46.2,160.50
49.3,159.75
52.4,160.50
55.5,160.00
58.6,159.75
61.6,160.00
64.7,160.00
67.8,160.00
70.9,160.25
74.0,160.50
77.1,155.50
80.1,160.25
83.2,159.75
86.3,159.25
89.4,159.00
92.5,159.50
95.5,160.00
98.6,160.00
101.7,157.00
104.8,160.00
107.9,159.25
111.0,160.00
114.0,160.00
117.1,154.25
120.2,159.25
123.3,159.50
126.4,158.25
129.5,159.00
132.5,160.00
135.6,158.00
138.7,160.00
141.8,160.00
144.9,160.25
147.9,159.75
151.0,159.50
154.1,159.00
157.2,159.75
160.3,160.00
163.4,158.50
166.4,159.00
169.5,158.75
172.6,159.00
175.7,159.25
178.8,158.25
181.8,158.00
184.9,155.75
188.0,159.00
191.1,158.75
194.2,157.25
197.3,159.25
200.3,158.25
203.4,159.50
206.5,159.25
209.6,160.00
212.7,159.00
215.8,157.00
218.8,158.25
221.9,159.25
225.0,159.00
228.1,159.25
231.2,160.00
234.2,159.00
237.3,159.25
240.4,159.50
243.5,159.50
246.6,159.50
249.7,159.25
252.7,159.25
255.8,158.75
258.9,159.25
262.0,159.50
265.1,159.75
268.2,159.25
271.2,159.00
274.3,159.00
277.4,159.00
280.5,159.25
283.6,158.00
286.6,159.25
289.7,159.25
292.8,159.25
295.9,159.50
299.0,157.00
302.1,158.25
305.1,159.25
308.2,156.50
311.3,159.50
314.4,156.50
317.5,158.25
320.6,158.25
323.6,158.75
326.7,156.50
329.8,159.25
332.9,158.50
336.0,157.75
339.0,155.75
342.1,158.75
345.2,158.75
348.3,156.25
351.4,158.25
354.5,158.25
357.5,156.00
