Time(s),Temp(C)
0.0,147.00
3.6,147.50
7.3,147.75
10.9,147.50
14.6,147.75
18.2,147.25
21.9,148.00
25.5,147.75
29.1,146.75
32.8,148.00
36.4,148.00
40.1,147.50
43.7,147.25
47.3,146.25
51.0,147.50
54.6,147.50
58.3,147.50
61.9,147.50
65.6,147.50
69.2,147.00
72.8,147.25
76.5,147.25
80.1,147.50
83.8,144.75
87.4,146.75
91.1,147.25
94.7,147.50
98.3,146.75
102.0,144.00
105.6,147.25
109.3,147.00
112.9,147.00
116.5,147.25
120.2,147.00
123.8,146.25
127.5,147.25
131.1,146.25
134.8,147.00
138.4,146.75
142.0,146.75
145.7,146.75
149.3,146.75
153.0,147.00
156.6,146.25
160.3,146.75
163.9,146.75
167.5,146.75
171.2,147.00
174.8,146.25
178.5,146.50
182.1,145.75
185.8,146.50
189.4,146.25
193.0,146.25
196.7,146.25
200.3,146.00
204.0,146.25
207.6,145.75
211.2,146.25
214.9,145.25
218.5,143.25
222.2,145.75
225.8,146.00
229.5,146.00
233.1,145.50
236.7,145.50
240.4,145.75
244.0,146.00
247.7,146.00
251.3,145.50
255.0,146.00
258.6,145.75
262.2,145.75
265.9,145.50
269.5,145.25
273.2,145.50
276.8,145.50
280.4,145.75
284.1,145.50
287.7,145.25
291.4,145.75
295.0,145.75
298.7,144.50
