Time(s),Temp(C)
0.0,144.50
2.4,143.75
4.9,142.25
7.3,143.25
9.7,143.00
12.2,142.25
14.6,140.50
17.0,142.50
19.4,141.25
21.9,141.50
24.3,141.00
26.7,140.50
29.2,140.75
31.6,140.00
34.0,140.00
36.5,139.00
38.9,139.50
41.3,139.00
43.7,135.75
46.2,138.25
48.6,138.00
51.0,137.75
53.5,137.00
55.9,137.25
58.3,136.75
60.8,136.25
63.2,137.00
65.6,136.75
68.0,136.75
70.5,136.00
72.9,135.75
75.3,132.75
77.8,135.75
80.2,135.50
82.6,135.75
85.1,135.75
87.5,135.75
89.9,135.00
92.4,135.50
94.8,136.25
97.2,135.75
99.6,135.25
102.1,136.00
104.5,136.00
106.9,136.00
109.4,135.75
111.8,133.75
114.2,136.00
116.7,136.25
119.1,135.50
121.5,135.50
123.9,136.00
126.4,136.25
128.8,135.25
131.2,136.50
133.7,135.25
136.1,136.75
138.5,136.75
141.0,137.25
143.4,136.75
145.8,137.50
148.2,137.50
150.7,137.75
153.1,137.00
155.5,137.50
158.0,138.00
160.4,138.50
162.8,138.50
165.3,139.00
167.7,139.00
170.1,138.75
172.6,139.25
175.0,139.25
177.4,139.50
179.8,139.50
182.3,140.25
184.7,140.00
187.1,139.00
189.6,134.75
192.0,140.50
194.4,140.50
196.9,140.25
199.3,141.00
201.7,141.00
204.1,141.25
206.6,141.50
209.0,141.75
211.4,141.50
213.9,141.50
216.3,142.75
218.7,142.25
221.2,143.25
223.6,143.25
226.0,140.25
228.4,142.25
230.9,143.25
233.3,144.00
235.7,144.25
238.2,144.50
240.6,145.00
243.0,144.75
245.5,145.00
247.9,145.25
250.3,146.00
252.7,145.75
255.2,145.25
257.6,146.25
260.0,145.50
262.5,144.25
264.9,147.00
267.3,147.00
269.8,146.75
272.2,146.75
274.6,146.50
277.0,147.50
279.5,147.75
281.9,146.75
284.3,148.50
286.8,148.00
289.2,148.00
291.6,148.75
294.1,149.25
296.5,149.25
298.9,148.75
