Time(s),Temp(C)
0.0,21.75
1.7,21.75
3.4,21.50
5.0,21.50
6.7,21.25
8.4,21.75
10.1,22.00
11.7,21.75
13.4,22.00
15.1,21.50
16.8,21.75
18.4,21.50
20.1,22.00
21.8,20.75
23.5,22.00
25.1,21.25
26.8,18.75
28.5,21.50
30.2,22.25
31.8,21.25
33.5,21.25
35.2,22.25
36.9,22.00
38.5,21.75
40.2,22.25
41.9,21.75
43.6,22.00
45.2,21.00
46.9,22.00
48.6,21.50
50.3,22.25
51.9,22.25
53.6,22.75
55.3,22.75
57.0,22.75
58.6,22.50
60.3,22.75
62.0,22.00
63.7,22.75
65.3,22.75
67.0,22.50
68.7,23.75
70.4,23.25
72.0,22.75
73.7,23.50
75.4,23.25
77.1,22.75
78.7,20.50
80.4,23.00
82.1,24.25
83.8,23.50
85.4,24.50
87.1,24.50
88.8,24.50
90.5,24.75
92.1,24.75
93.8,24.75
95.5,24.75
97.2,24.75
98.8,25.75
100.5,25.25
102.2,25.75
103.9,26.00
105.5,25.75
107.2,26.00
108.9,26.50
110.6,25.25
112.2,27.00
113.9,27.50
115.6,28.00
117.3,27.75
118.9,28.25
120.6,28.75
122.3,28.25
124.0,29.25
125.6,29.00
127.3,29.50
129.0,30.50
130.7,30.25
132.3,29.00
134.0,30.75
135.7,28.25
137.4,32.00
139.0,32.50
140.7,33.25
142.4,33.00
144.1,33.50
145.7,36.25
147.4,36.50
149.1,37.50
150.8,37.75
152.5,38.25
154.1,37.00
155.8,38.00
157.5,39.75
159.2,39.75
160.9,40.75
162.6,40.50
164.2,40.50
165.9,42.50
167.6,42.50
169.3,43.50
171.0,43.75
172.7,44.50
174.4,44.75
176.0,45.75
177.7,47.00
179.4,47.50
181.1,48.00
182.8,48.75
184.5,49.00
186.2,50.50
187.8,51.50
189.5,52.00
191.2,52.25
192.9,53.50
194.6,53.75
196.3,54.50
197.9,52.25
199.6,56.50
201.3,57.00
203.0,57.50
204.7,58.50
206.4,58.25
208.1,59.75
209.7,59.75
211.4,60.75
213.1,61.50
214.8,62.00
216.5,62.75
218.2,63.75
219.9,64.75
221.5,65.25
223.2,65.75
224.9,66.50
226.6,67.25
228.3,68.00
230.0,68.00
231.7,69.25
233.3,69.75
235.0,70.00
236.7,71.00
238.4,70.75
240.1,72.00
241.8,72.50
243.4,72.75
245.1,74.00
246.8,73.75
248.5,74.75
250.2,75.25
251.9,76.75
253.6,77.25
255.2,78.25
256.9,79.00
258.6,78.75
260.3,80.75
262.0,80.75
263.7,81.50
265.4,78.50
267.0,82.00
268.7,83.00
270.4,83.25
272.1,84.25
273.8,85.00
275.5,85.75
277.1,86.00
278.8,86.25
280.5,87.00
282.2,88.25
283.9,88.50
285.6,88.25
287.3,88.75
288.9,89.25
290.6,90.00
292.3,90.75
294.0,92.00
295.7,92.00
297.4,92.00
299.1,93.25
300.7,93.50
302.4,94.50
304.1,94.75
305.8,95.75
307.5,96.50
309.2,97.00
310.9,97.50
312.5,97.50
314.2,98.75
315.9,99.50
317.6,97.50
319.3,100.25
321.0,101.25
322.6,101.75
324.3,100.25
326.0,102.25
327.7,102.75
329.4,104.00
331.1,104.00
332.8,99.50
334.4,104.50
336.1,105.50
337.8,106.00
339.5,105.50
341.2,107.50
342.9,107.25
344.6,108.75
346.2,109.00
347.9,109.25
349.6,109.75
351.3,110.00
353.0,109.00
354.7,110.00
356.3,112.25
358.0,112.25
359.7,112.75
361.4,113.25
363.1,114.50
364.8,113.75
366.5,115.00
368.1,115.50
369.8,113.25
371.5,115.75
373.2,117.25
374.9,118.00
376.6,118.25
378.3,119.50
379.9,118.75
381.6,120.50
383.3,120.75
385.0,120.50
386.7,121.00
388.4,122.75
390.1,123.00
391.7,122.75
393.4,122.50
395.1,123.50
396.8,123.50
398.5,123.75
400.2,121.75
401.8,125.25
403.5,126.25
405.2,126.25
406.9,127.25
408.6,127.25
410.3,128.00
412.0,128.75
413.6,128.50
415.3,128.50
417.0,129.00
418.7,130.75
420.4,131.00
422.1,130.25
423.8,132.00
425.4,132.00
427.1,132.25
428.8,132.75
430.5,132.75
432.2,132.75
433.9,133.50
435.6,133.50
437.2,133.75
438.9,131.00
440.6,135.75
442.3,135.75
444.0,135.00
445.7,136.00
447.3,135.75
449.0,137.75
450.7,138.00
452.4,137.75
454.1,137.75
455.8,139.00
457.5,138.75
459.1,139.25
460.8,139.75
462.5,138.50
464.2,139.00
465.9,139.25
467.6,136.25
469.3,140.00
470.9,140.50
472.6,140.00
474.3,140.00
476.0,141.25
477.7,141.75
479.4,141.00
481.0,141.50
482.7,142.25
484.4,142.50
486.1,143.00
487.8,142.75
489.5,144.00
491.2,141.50
492.8,144.50
494.5,144.25
496.2,145.00
497.9,145.50
499.6,145.75
501.3,143.75
503.0,146.25
504.6,146.75
506.3,146.50
508.0,147.25
509.7,147.25
511.4,147.50
513.1,146.50
514.8,148.00
516.4,148.75
518.1,149.00
519.8,149.25
521.5,149.75
523.2,149.75
524.9,150.00
526.5,150.75
528.2,150.75
529.9,151.25
531.6,151.50
533.3,151.50
535.0,149.50
536.7,151.75
538.3,152.00
540.0,151.50
541.7,151.75
543.4,153.00
545.1,153.25
546.8,152.75
548.5,153.75
550.1,153.25
551.8,154.50
553.5,154.00
555.2,154.25
556.9,155.00
558.6,155.00
560.2,154.75
561.9,155.50
563.6,155.25
565.3,154.75
567.0,156.25
568.7,157.00
570.4,157.25
572.0,157.50
573.7,158.00
575.4,158.50
577.1,158.75
578.8,159.00
580.5,159.25
582.2,159.25
583.8,159.75
585.5,159.75
587.2,159.75
588.9,160.50
590.6,160.00
592.3,160.75
594.0,160.75
595.6,161.00
597.3,161.25
599.0,161.50
600.7,161.50
602.4,162.00
604.1,161.50
605.7,162.25
607.4,162.25
609.1,162.50
610.8,162.75
612.5,162.75
614.2,163.00
615.9,163.50
617.5,163.75
619.2,163.75
620.9,164.00
622.6,163.50
624.3,163.50
626.0,163.75
