Time(s),Temp(C)
0.0,42.75
2.5,43.50
5.0,43.50
7.5,43.50
10.0,43.75
12.6,43.75
15.1,43.25
17.6,43.50
20.1,42.75
22.6,43.25
25.1,42.75
27.6,43.00
30.1,43.25
32.6,43.00
35.1,42.50
37.6,42.25
40.2,43.00
42.7,43.50
45.2,42.75
47.7,42.75
50.2,42.75
52.7,43.00
55.2,40.00
57.7,43.50
60.2,42.75
62.7,43.25
65.2,43.50
67.8,43.25
70.3,39.25
72.8,43.25
75.3,43.25
77.8,43.75
80.3,43.50
82.8,43.25
85.3,44.00
87.8,43.75
90.3,43.75
92.8,42.50
95.4,44.50
97.9,44.75
100.4,42.75
102.9,44.00
105.4,44.75
107.9,44.50
110.4,43.00
112.9,45.25
115.4,45.00
117.9,45.75
120.4,46.25
123.0,46.25
125.5,46.50
128.0,46.25
130.5,47.00
133.0,47.00
135.5,46.75
138.0,44.00
140.5,47.50
143.0,47.75
145.5,46.00
148.1,50.00
150.6,50.25
153.1,50.50
155.6,48.00
158.1,50.75
160.6,51.50
163.2,51.75
165.7,52.00
168.2,53.50
170.7,54.75
173.2,54.75
175.8,55.25
178.3,54.75
180.8,55.50
183.3,56.50
185.8,58.00
188.3,57.75
190.9,58.75
193.4,59.50
195.9,60.25
198.4,61.25
200.9,61.50
203.5,63.00
206.0,63.25
208.5,63.50
211.0,63.25
213.5,65.00
216.1,62.75
218.6,65.75
221.1,67.25
223.6,68.25
226.1,68.75
228.7,69.25
231.2,69.75
233.7,70.75
236.2,71.00
238.7,71.75
241.3,73.50
243.8,73.75
246.3,74.25
248.8,74.50
251.3,75.00
253.9,76.25
256.4,76.75
258.9,77.50
261.4,78.00
263.9,78.50
266.4,79.25
269.0,79.50
271.5,75.50
274.0,79.00
276.5,80.75
279.0,81.25
281.6,82.00
284.1,82.00
286.6,83.00
289.1,83.25
291.6,84.00
294.2,84.50
296.7,84.75
299.2,84.50
301.7,85.00
304.2,83.50
306.8,84.75
309.3,86.25
311.8,87.75
314.3,87.00
316.8,85.75
319.4,86.00
321.9,89.25
324.4,90.00
326.9,89.50
329.4,90.50
331.9,91.25
334.5,89.50
337.0,92.00
339.5,92.25
342.0,93.00
344.5,93.50
347.1,90.25
349.6,94.25
352.1,93.75
354.6,95.00
357.1,95.25
359.7,95.75
362.2,96.00
364.7,96.25
367.2,95.75
369.7,97.50
372.3,97.25
374.8,96.25
377.3,98.00
379.8,98.75
382.3,98.50
