Time(s),Temp(C)
0.0,148.25
2.5,148.00
5.0,147.50
7.5,146.75
10.0,146.25
12.6,145.25
15.1,145.75
17.6,144.75
20.1,145.00
22.6,145.00
25.1,144.25
27.6,143.75
30.1,143.50
32.6,143.25
35.1,142.75
37.6,142.00
40.1,141.50
42.7,141.75
45.2,141.50
47.7,141.25
50.2,141.00
52.7,141.00
55.2,140.75
57.7,140.50
60.2,140.00
62.7,140.00
65.2,139.50
67.7,139.25
70.3,139.50
72.8,139.00
75.3,135.50
77.8,139.25
80.3,139.00
82.8,138.50
85.3,138.25
87.8,138.25
90.3,138.25
92.8,138.00
95.4,137.25
97.9,138.00
100.4,138.00
102.9,137.25
105.4,137.75
107.9,137.50
110.4,138.00
112.9,137.75
115.4,137.75
117.9,138.00
120.4,138.00
123.0,137.50
125.5,137.75
128.0,138.50
130.5,138.00
133.0,137.75
135.5,138.25
138.0,138.50
140.5,138.25
143.0,138.75
145.5,138.50
148.1,139.00
150.6,139.00
153.1,135.00
155.6,139.00
158.1,139.00
160.6,140.00
163.2,139.00
165.7,140.00
168.2,140.50
170.7,140.50
173.2,140.25
175.8,140.50
178.3,141.25
180.8,141.25
183.3,141.25
185.8,141.50
188.3,141.25
190.9,141.25
193.4,141.50
195.9,142.00
198.4,142.50
200.9,142.75
203.5,142.75
206.0,143.00
208.5,143.00
211.0,143.75
213.5,143.75
216.1,143.25
218.6,143.75
221.1,144.50
223.6,144.50
226.1,144.00
228.7,145.00
231.2,145.00
233.7,144.75
236.2,145.00
238.7,145.00
241.3,142.75
243.8,145.75
246.3,146.00
248.8,145.75
251.3,146.25
253.8,146.50
256.4,146.00
258.9,147.25
261.4,147.00
263.9,147.25
266.4,146.25
269.0,147.25
271.5,147.75
274.0,147.25
276.5,147.75
279.0,147.75
281.6,148.50
284.1,148.75
286.6,148.25
289.1,148.50
291.6,149.00
294.2,149.00
296.7,149.25
299.2,149.00
