Time(s),Temp(C)
0.0,146.25
2.0,145.50
4.0,145.75
6.0,145.50
8.0,142.00
10.1,144.50
12.1,144.50
14.1,144.00
16.1,143.50
18.1,143.25
20.1,143.00
22.1,143.00
24.1,142.75
26.1,142.25
28.1,142.25
30.1,141.75
32.2,141.75
34.2,141.50
36.2,141.50
38.2,140.75
40.2,140.75
42.2,141.00
44.2,140.25
46.2,140.25
48.2,140.00
50.2,140.00
52.2,139.00
54.2,139.00
56.3,139.25
58.3,139.25
60.3,139.00
62.3,138.50
64.3,139.00
66.3,138.50
68.3,138.25
70.3,135.75
72.3,138.25
74.3,138.25
76.4,138.75
78.4,138.00
80.4,138.50
82.4,138.25
84.4,138.00
86.4,138.50
88.4,137.75
90.4,137.50
92.4,138.00
94.4,137.25
96.4,138.50
98.5,138.50
100.5,138.50
102.5,138.75
104.5,137.75
106.5,138.50
108.5,138.50
110.5,138.25
112.5,138.75
114.5,138.50
116.5,139.00
118.5,138.25
120.6,139.00
122.6,139.75
124.6,140.00
126.6,140.00
128.6,139.75
130.6,140.00
132.6,135.75
134.6,140.50
136.6,140.75
138.6,140.25
140.6,140.50
142.7,140.75
144.7,141.50
146.7,141.25
148.7,141.00
150.7,142.25
152.7,142.00
154.7,142.50
156.7,143.00
158.7,143.00
160.7,143.00
162.7,143.25
164.8,143.75
166.8,144.00
168.8,143.25
170.8,144.75
172.8,144.75
174.8,144.75
176.8,145.00
178.8,145.00
180.8,145.50
182.8,145.00
184.9,146.25
186.9,145.50
188.9,146.50
190.9,146.75
192.9,145.75
195.0,146.75
197.0,147.50
199.0,147.25
201.0,147.25
203.0,148.50
205.1,147.75
207.1,148.75
209.1,148.75
211.1,149.25
213.1,149.50
215.2,149.75
217.2,150.00
219.2,150.00
221.2,150.00
223.2,150.50
225.2,150.75
227.3,150.75
229.3,151.00
231.3,151.75
233.3,151.75
235.3,150.00
237.4,152.00
239.4,152.25
241.4,150.75
243.4,152.75
245.4,153.00
247.5,152.75
249.5,153.25
251.5,153.25
253.5,154.25
255.5,154.25
257.6,154.00
259.6,154.50
261.6,154.75
263.6,155.25
265.6,154.75
267.6,154.75
269.7,155.25
271.7,155.75
273.7,156.00
275.7,155.25
277.7,153.00
279.8,156.25
281.8,156.75
283.8,156.75
285.8,157.00
287.8,157.25
289.9,157.25
291.9,157.25
293.9,157.75
295.9,158.00
297.9,158.00
300.0,158.00
302.0,158.50
304.0,158.25
306.0,158.00
308.0,159.00
310.1,159.25
312.1,158.75
314.1,157.00
316.1,159.75
318.1,159.75
320.1,159.75
322.2,159.75
324.2,160.25
326.2,159.00
328.2,160.50
330.2,161.00
332.3,160.50
334.3,161.25
336.3,161.00
338.3,161.25
340.3,161.75
342.4,161.75
344.4,161.75
346.4,161.50
348.4,162.00
350.4,161.50
352.5,162.50
354.5,162.75
356.5,163.00
358.5,162.75
360.5,163.25
362.6,163.50
364.6,163.75
366.6,163.75
368.6,163.75
370.6,164.00
372.6,164.00
374.7,164.25
376.7,164.25
378.7,164.25
380.7,164.75
382.7,165.00
384.8,164.75
386.8,164.50
388.8,165.00
390.8,165.25
392.8,165.75
394.9,165.50
396.9,165.75
398.9,165.75
400.9,166.25
402.9,166.25
405.0,166.75
407.0,166.50
409.0,166.75
411.0,167.00
413.0,167.00
415.1,167.25
417.1,167.00
419.1,167.00
421.1,166.75
423.1,167.25
425.1,168.00
427.2,167.25
429.2,167.25
431.2,167.75
433.2,163.75
435.2,168.75
437.3,168.50
439.3,168.50
441.3,169.00
443.3,169.00
445.3,169.00
447.4,169.00
449.4,169.00
451.4,169.25
453.4,169.75
455.4,170.00
457.5,169.75
459.5,169.75
461.5,170.25
463.5,170.25
465.5,170.50
467.5,169.75
469.6,167.50
471.6,170.00
473.6,170.75
475.6,171.00
477.6,169.25
479.7,171.50
481.7,171.25
483.7,168.25
485.7,171.75
487.7,171.75
489.8,171.75
491.8,171.50
493.8,171.75
495.8,172.00
497.8,169.75
499.9,172.25
501.9,172.50
503.9,172.50
505.9,171.00
507.9,172.00
509.9,172.75
512.0,173.50
514.0,173.00
516.0,173.50
518.0,173.25
520.0,173.75
522.1,173.50
524.1,173.75
526.1,173.75
528.1,173.50
530.1,174.25
532.2,174.00
534.2,174.25
536.2,173.50
538.2,174.75
540.2,174.25
542.3,174.00
544.3,174.25
546.3,174.25
548.3,174.75
550.3,175.25
552.3,175.25
554.4,175.50
556.4,176.00
558.4,175.75
560.4,175.75
562.4,175.50
564.5,176.00
566.5,175.50
568.5,176.25
570.5,176.00
572.5,176.25
574.6,176.25
576.6,176.75
578.6,175.75
580.6,176.00
582.6,177.00
584.7,176.75
586.7,177.50
588.7,177.25
590.7,177.25
592.7,177.25
594.8,177.00
596.8,177.50
598.8,177.75
600.8,178.00
602.8,178.00
604.8,177.75
606.9,177.75
608.9,177.25
610.9,178.25
612.9,176.50
614.9,178.50
617.0,178.00
619.0,178.75
621.0,178.75
623.0,178.25
625.0,177.75
627.1,179.00
629.1,178.25
631.1,179.25
633.1,179.75
635.1,179.25
637.2,179.75
639.2,179.75
641.2,179.50
643.2,179.75
645.2,180.00
647.2,180.25
649.3,179.75
651.3,180.25
653.3,180.25
655.4,180.00
657.4,179.50
659.4,180.25
661.4,177.75
663.4,180.50
665.5,181.25
667.5,180.50
669.5,181.00
671.5,180.75
673.5,180.50
675.6,180.75
677.6,181.50
679.6,181.00
681.6,181.25
683.6,181.50
685.6,181.75
687.7,181.25
689.7,181.50
691.7,181.50
693.7,182.00
695.7,182.25
697.8,181.25
699.8,181.25
701.8,182.25
703.8,182.25
705.8,182.75
707.9,182.50
709.9,182.00
711.9,182.50
713.9,182.00
715.9,182.75
718.0,182.75
720.0,183.00
722.0,183.00
724.0,183.00
726.0,183.00
728.0,183.25
730.1,182.75
732.1,183.25
734.1,183.50
736.1,183.25
738.1,183.50
740.2,184.00
742.2,183.50
744.2,184.00
746.2,183.75
748.2,184.00
750.3,183.75
752.3,184.25
754.3,184.00
756.3,184.00
758.3,184.25
760.4,184.50
762.4,184.75
764.4,184.25
766.4,184.00
768.4,184.75
770.5,184.25
772.5,184.25
774.5,185.00
776.5,184.75
778.5,185.00
780.5,184.50
782.6,184.75
784.6,185.25
786.6,185.50
788.6,185.00
790.6,185.00
792.7,185.25
794.7,185.50
796.7,185.75
798.7,185.75
800.7,185.75
802.8,185.50
804.8,185.25
806.8,185.75
808.8,186.25
810.8,185.75
812.9,185.75
814.9,186.25
816.9,182.25
818.9,186.00
820.9,186.00
822.9,186.50
825.0,186.50
827.0,186.75
829.0,186.50
831.0,186.00
833.0,186.75
835.1,186.75
837.1,186.75
839.1,187.00
841.1,187.00
843.1,186.00
845.2,186.50
847.2,187.00
849.2,187.25
851.2,187.00
853.2,183.00
855.3,187.00
857.3,187.50
859.3,187.75
861.3,187.25
863.3,187.50
865.3,187.50
867.4,187.00
869.4,187.00
871.4,188.00
873.4,187.25
875.4,187.75
877.5,188.25
879.5,187.50
881.5,187.75
883.5,188.25
885.5,188.00
887.6,188.25
889.6,186.75
891.6,188.25
893.6,188.50
895.6,188.75
897.7,188.25
899.7,188.00
901.7,188.75
903.7,188.75
905.7,188.50
907.8,187.00
909.8,188.50
911.8,188.50
913.8,188.50
915.8,189.25
917.8,189.25
919.9,189.25
921.9,189.50
923.9,189.50
925.9,189.50
927.9,189.50
930.0,189.25
932.0,189.50
934.0,189.25
936.0,188.75
938.0,190.00
940.1,189.50
942.1,190.25
944.1,190.00
946.1,189.50
948.1,190.00
950.2,190.00
952.2,189.75
954.2,190.00
956.2,190.25
958.2,189.00
960.2,190.00
962.3,190.25
964.3,190.00
966.3,190.50
968.3,190.25
970.3,190.25
972.4,186.50
974.4,190.75
976.4,190.25
978.4,190.50
980.4,190.50
982.5,190.25
984.5,191.00
986.5,190.50
988.5,191.00
990.5,190.00
992.6,190.75
994.6,190.75
996.6,191.25
998.6,191.00
1000.6,191.25
1002.6,191.00
1004.7,191.25
1006.7,191.00
1008.7,187.50
1010.7,191.00
1012.7,191.50
1014.8,191.25
1016.8,191.00
1018.8,191.00
1020.8,191.50
1022.8,191.50
1024.9,191.50
1026.9,191.75
1028.9,191.50
1030.9,191.25
1032.9,191.00
1035.0,191.50
1037.0,191.75
1039.0,192.00
1041.0,192.00
1043.0,191.50
1045.0,189.00
1047.1,191.75
1049.1,192.00
1051.1,191.25
1053.1,191.75
1055.1,192.00
1057.2,191.75
1059.2,192.00
1061.2,192.00
1063.2,192.00
1065.2,192.50
1067.3,192.25
1069.3,192.00
1071.3,192.25
1073.3,192.00
1075.3,192.25
1077.4,192.25
1079.4,192.50
1081.4,192.00
1083.4,192.25
1085.4,192.25
1087.5,192.00
1089.5,192.25
1091.5,192.75
1093.5,191.50
1095.5,192.25
1097.5,191.25
1099.6,192.75
1101.6,192.75
1103.6,192.75
1105.6,193.50
1107.6,192.25
1109.7,192.00
1111.7,193.00
1113.7,192.75
1115.7,192.75
1117.7,192.25
1119.8,192.75
1121.8,193.25
1123.8,193.00
1125.8,193.50
1127.8,193.50
1129.9,193.25
1131.9,193.25
1133.9,193.50
1135.9,193.50
1137.9,193.25
1140.0,193.25
1142.0,193.25
1144.0,194.25
1146.0,193.50
1148.0,193.75
1150.0,194.00
1152.1,194.00
1154.1,193.50
1156.1,194.00
1158.1,193.75
1160.1,193.75
1162.2,193.75
1164.2,189.75
1166.2,194.00
1168.2,194.00
1170.2,194.25
1172.3,193.75
1174.3,194.00
1176.3,194.25
1178.3,194.25
1180.3,194.50
1182.4,194.00
1184.4,194.25
1186.4,194.00
1188.4,194.00
1190.4,193.75
1192.4,194.25
1194.5,194.25
1196.5,194.00
1198.5,194.50
1200.5,191.75
1202.5,194.00
1204.6,194.75
1206.6,194.50
1208.6,194.25
1210.6,194.00
1212.6,194.50
1214.7,194.25
1216.7,194.75
1218.7,194.75
1220.7,194.25
1222.7,194.50
1224.8,194.50
1226.8,194.25
1228.8,195.00
1230.8,194.75
1232.8,194.75
1234.8,194.75
1236.9,193.25
1238.9,195.00
1240.9,195.00
1242.9,194.75
1244.9,194.25
1247.0,195.25
1249.0,195.25
1251.0,194.50
1253.0,194.25
1255.0,195.00
1257.1,195.00
1259.1,195.00
1261.1,195.25
1263.1,195.00
1265.1,195.25
1267.2,195.50
1269.2,194.75
1271.2,195.25
1273.2,195.50
1275.2,195.50
1277.2,195.50
1279.3,194.75
1281.3,195.50
1283.3,194.25
1285.3,194.00
1287.3,194.00
1289.4,195.75
1291.4,195.50
1293.4,195.75
1295.4,195.50
1297.4,195.50
1299.5,195.50
1301.5,195.25
1303.5,195.75
1305.5,195.75
1307.5,195.75
1309.6,196.00
1311.6,195.25
1313.6,196.00
1315.6,195.50
1317.6,195.50
1319.7,195.25
0.0,174.75
1.8,175.00
3.7,174.00
5.5,174.00
7.3,173.75
9.1,173.75
11.0,173.00
12.8,173.00
14.6,173.00
16.4,172.00
18.3,171.75
20.1,171.25
21.9,171.00
23.8,170.25
25.6,170.75
27.4,169.50
29.2,166.25
31.1,169.75
32.9,169.25
34.7,169.25
36.5,169.25
38.4,168.75
40.2,168.50
