Time(s),Temperature(C)
0.00,75.25
3.34,76.25
6.67,76.50
10.01,73.75
13.35,76.25
16.68,74.75
20.02,71.00
23.35,71.75
26.69,76.00
30.03,70.00
33.36,69.75
36.70,75.25
40.04,75.75
43.37,75.25
46.71,76.00
50.04,75.50
53.38,76.00
56.72,72.50
60.05,75.75
63.39,75.75
66.73,76.25
70.06,76.00
73.40,75.75
76.73,76.00
80.07,75.75
83.41,77.25
86.74,77.25
90.08,78.00
93.42,77.75
96.75,77.75
100.09,78.00
103.43,74.25
106.76,78.25
110.10,77.75
113.43,78.75
116.77,78.75
120.11,79.25
123.44,79.00
126.93,78.50
130.26,80.00
133.60,80.50
136.93,80.00
140.27,80.75
143.61,80.75
146.94,81.50
150.28,80.00
153.62,82.00
156.95,82.25
160.29,82.50
163.63,82.50
166.96,83.00
170.30,83.00
173.64,83.00
176.97,83.75
180.31,84.25
183.64,84.00
186.98,84.50
190.32,85.00
193.65,85.00
196.99,84.75
200.33,85.25
203.66,85.50
207.00,86.25
210.34,87.00
213.67,87.00
217.01,86.75
220.35,86.50
223.68,87.75
227.02,86.50
230.35,88.25
233.69,88.50
237.03,89.00
240.36,89.00
243.70,89.00
247.18,88.50
250.52,89.50
253.85,90.00
257.19,90.00
260.53,90.25
263.86,90.75
267.20,91.00
270.54,91.75
273.87,91.75
277.21,91.25
280.54,92.25
283.88,92.50
287.22,92.75
290.55,92.50
293.89,92.00
297.23,93.50
300.56,91.75
303.90,94.25
307.24,93.50
310.57,95.00
313.91,95.00
317.25,95.50
320.58,95.50
323.92,95.75
327.25,96.00
330.59,96.25
333.93,96.25
337.26,97.00
340.60,96.75
343.94,97.00
347.27,97.50
350.61,98.25
353.95,98.25
357.28,98.50
360.62,98.25
363.95,98.75
367.29,98.50
370.77,99.00
374.11,99.00
377.45,100.25
380.78,100.25
384.12,100.50
387.45,100.50
390.79,101.25
394.13,101.25
397.46,101.50
400.80,102.00
404.14,101.75
407.47,102.25
410.81,101.75
414.15,102.25
417.48,102.75
420.82,102.75
424.16,102.50
427.49,102.75
430.83,103.75
434.17,104.00
437.50,103.75
440.84,104.75
444.17,104.50
447.51,103.75
450.85,104.25
454.19,105.25
457.52,102.50
460.86,106.00
464.19,105.50
467.53,104.75
470.87,105.75
474.20,106.50
477.54,107.00
480.88,107.00
484.36,105.75
487.69,105.75
491.03,107.25
494.37,107.25
497.70,103.00
501.04,107.75
504.38,108.25
507.71,108.25
511.05,108.75
514.39,109.00
517.72,109.00
521.06,109.75
524.40,109.50
527.73,109.50
531.07,109.75
534.41,110.00
537.74,110.00
541.08,110.75
544.41,106.75
547.75,111.00
551.09,111.50
554.42,111.50
557.76,111.75
561.10,112.25
564.43,111.00
567.77,112.00
571.11,112.75
574.44,111.50
577.78,110.75
581.12,112.75
584.45,113.00
587.79,113.25
591.13,109.25
594.46,113.75
597.94,113.00
601.28,113.75
604.62,114.00
607.95,114.25
611.29,114.75
614.63,112.75
617.96,114.75
621.30,115.00
624.64,115.00
627.97,115.25
631.31,115.75
634.65,115.25
637.98,115.25
641.32,116.00
644.66,116.00
647.99,116.00
651.33,116.75
654.66,116.50
658.00,116.75
661.34,116.75
664.67,117.00
668.01,116.50
671.35,117.75
674.68,116.50
678.02,117.50
681.36,117.50
684.69,117.75
688.03,117.50
691.37,118.00
694.70,118.25
698.04,118.75
701.38,118.00
704.71,119.00
708.05,119.25
711.48,118.50
714.82,118.75
718.15,119.50
721.49,119.25
724.83,118.50
728.16,120.00
731.50,120.50
734.84,119.75
738.17,120.50
741.51,119.50
744.84,120.25
748.18,120.75
751.52,121.00
754.85,121.25
758.19,121.25
761.53,121.25
764.86,121.75
768.20,122.25
771.54,122.00
774.87,122.25
778.21,121.75
781.55,122.50
784.88,122.50
788.22,118.50
791.56,122.50
794.89,122.25
798.23,123.00
801.57,122.50
804.90,122.75
808.24,123.25
811.57,123.00
814.91,123.50
818.25,122.75
821.58,123.75
824.92,123.75
828.26,123.50
831.60,123.25
834.93,120.75
838.27,123.75
841.61,124.25
844.94,124.00
848.28,124.25
851.62,124.50
854.95,125.00
858.29,125.25
861.63,125.00
864.96,124.75
868.30,124.75
871.64,125.25
874.97,125.00
878.31,125.00
881.65,123.75
884.98,125.75
888.32,125.75
891.65,126.00
894.99,125.75
898.33,126.00
901.66,126.00
905.00,125.75
908.34,126.00
911.67,126.25
915.01,126.50
918.35,126.50
921.68,126.50
925.02,126.25
928.36,125.75
931.69,127.00
935.03,127.00
938.36,127.25
941.71,126.75
945.04,126.75
948.38,126.50
951.72,127.50
955.05,127.50
958.39,126.75
961.72,127.75
965.06,127.50
968.40,127.00
971.73,128.00
975.07,127.75
978.41,127.75
981.74,128.25
985.08,128.50
988.42,128.25
991.75,128.50
995.09,129.00
998.43,128.75
1001.76,128.75
1005.10,128.75
1008.44,128.75
