Time(s),Temp(C)
0.0,52.50
3.3,51.75
6.7,52.00
10.0,49.50
13.4,52.00
16.7,51.75
20.0,52.00
23.4,51.00
26.7,51.00
30.1,51.50
33.4,50.75
36.7,51.25
40.1,51.25
43.4,51.00
46.7,51.00
50.1,51.00
53.4,49.50
56.8,48.75
60.1,50.75
63.4,51.25
66.8,51.00
70.1,51.00
73.5,51.00
76.8,50.75
80.1,51.00
83.5,50.25
86.8,49.50
90.2,51.00
93.5,51.25
96.8,51.00
100.2,51.00
103.5,51.25
106.8,51.75
110.2,52.00
113.5,50.50
116.9,52.00
120.2,52.25
123.5,52.50
126.9,52.00
130.2,52.50
133.6,52.50
136.9,53.50
140.2,53.50
143.6,54.00
146.9,51.00
150.3,54.75
153.6,55.25
156.9,55.50
160.3,53.50
163.6,56.50
166.9,57.00
170.3,57.50
173.6,58.50
177.0,58.50
180.3,59.25
183.6,60.00
187.0,60.25
190.3,61.00
193.7,62.00
197.0,61.75
200.3,63.00
203.7,63.75
207.0,60.25
210.4,65.00
213.7,65.50
217.0,66.25
220.4,66.75
223.7,67.50
227.0,68.50
230.4,68.75
233.7,69.50
237.1,69.75
240.4,71.00
243.7,71.50
247.1,71.75
250.4,73.25
253.8,73.25
257.1,73.50
260.4,74.25
263.8,74.75
267.1,75.50
270.4,76.00
273.8,76.50
277.1,76.75
280.5,77.50
283.8,78.25
287.1,78.75
290.5,78.50
293.8,79.25
297.2,79.75
300.5,80.00
303.8,80.00
307.2,80.75
310.5,78.00
313.9,81.75
317.2,82.25
320.5,82.25
323.9,82.50
327.2,83.50
330.5,83.50
333.9,84.00
337.2,84.25
340.6,84.50
343.9,85.00
347.2,85.00
350.6,85.75
353.9,85.75
357.3,83.00
360.6,86.75
363.9,87.00
367.3,87.75
370.6,87.00
373.9,87.75
377.3,88.25
380.6,87.75
384.0,88.50
387.3,88.75
390.6,89.50
394.0,89.50
397.3,90.25
400.7,89.75
404.0,90.00
407.3,90.25
410.7,91.25
414.0,91.50
417.3,91.75
420.7,92.00
424.0,92.50
427.4,92.50
430.7,93.00
434.0,93.50
437.4,93.50
440.7,94.00
444.1,93.75
447.4,93.50
450.7,94.00
454.1,94.50
457.4,95.25
460.8,95.50
464.1,95.50
467.4,95.75
470.8,95.75
474.1,95.75
477.4,96.75
480.8,96.50
484.1,97.00
487.5,97.25
490.8,97.00
494.1,98.00
497.5,97.25
500.8,98.75
504.2,98.50
507.5,95.75
510.8,97.25
514.2,99.00
517.5,99.00
520.9,100.00
524.2,99.50
527.5,100.00
530.9,100.50
534.2,100.50
537.6,100.50
540.9,101.25
544.2,100.75
547.6,101.50
550.9,101.00
554.2,100.25
557.6,101.75
560.9,102.50
564.3,102.50
567.6,102.75
570.9,103.25
574.3,103.25
577.6,103.25
581.0,104.00
584.3,103.25
587.6,104.25
591.0,103.75
594.3,104.00
597.7,105.00
601.0,105.25
604.3,104.50
607.7,105.25
611.0,105.75
614.4,105.50
617.7,106.00
621.0,106.50
624.4,106.50
627.7,106.75
631.0,106.50
634.4,106.50
637.7,107.25
641.1,107.25
644.4,107.75
647.7,107.25
651.1,108.25
654.4,108.25
657.8,105.25
661.1,108.75
664.4,109.00
667.8,108.25
671.1,109.00
674.5,109.00
677.8,109.25
681.1,109.00
684.5,109.50
687.8,110.00
691.1,110.25
694.5,109.75
697.8,110.75
701.2,110.50
704.5,110.25
707.8,111.25
711.2,112.00
714.5,111.75
717.9,112.00
721.2,112.00
724.5,112.25
727.9,112.50
731.2,113.00
734.6,112.75
737.9,112.25
741.2,112.50
744.6,113.00
747.9,112.00
751.3,112.75
754.6,113.50
757.9,112.75
761.3,113.25
764.6,114.25
767.9,114.25
771.3,114.00
774.6,114.50
778.0,115.00
781.3,115.25
784.6,115.50
788.0,115.25
791.3,115.25
794.7,116.25
798.0,116.00
801.3,116.75
804.7,115.25
808.0,110.75
811.4,116.75
814.7,117.00
818.0,114.75
821.4,116.75
824.7,117.50
828.0,117.50
831.4,117.50
834.7,117.75
838.1,118.25
841.4,118.25
844.7,118.00
848.1,118.50
851.4,119.25
854.8,115.50
858.1,119.25
861.4,118.75
864.8,119.00
868.1,119.75
871.5,119.25
874.8,119.50
878.1,119.50
881.5,120.00
884.8,120.50
